Designator,Mid X,Mid Y,Rotation,Layer
R22_8,116.887336,-58.185477,180.0,bottom
R22_7,84.380953,-123.66477,180.0,bottom
R22_6,116.94749,-123.637144,180.0,bottom
R22_5,116.943976,-90.918751,180.0,bottom
R22_4,51.713976,-90.92076,180.0,bottom
R22_3,84.299047,-58.178751,180.0,bottom
R22_2,51.713976,-58.178751,180.0,bottom
R22,84.34,-90.92,180.0,bottom
R23_9,70.744466,-124.019153,0.0,bottom
R23_8,135.907336,-58.565477,0.0,bottom
R23_7,103.400953,-124.04477,0.0,bottom
R23_6,135.96749,-124.017144,0.0,bottom
R23_5,135.963976,-91.298751,0.0,bottom
R23_4,70.733976,-91.30076,0.0,bottom
R23_3,103.319047,-58.558751,0.0,bottom
R23_2,70.733976,-58.558751,0.0,bottom
R23,103.36,-91.3,0.0,bottom
R24_9,70.744466,-121.509153,0.0,bottom
R24_8,135.907336,-56.055477,0.0,bottom
R24_7,103.400953,-121.53477,0.0,bottom
R24_6,135.96749,-121.507144,0.0,bottom
R24_5,135.963976,-88.788751,0.0,bottom
R24_4,70.733976,-88.79076,0.0,bottom
R24_3,103.319047,-56.048751,0.0,bottom
R24_2,70.733976,-56.048751,0.0,bottom
R24,103.36,-88.79,0.0,bottom
R25_9,70.744466,-118.999153,0.0,bottom
R25_8,135.907336,-53.545477,0.0,bottom
R25_7,103.400953,-119.02477,0.0,bottom
R25_6,135.96749,-118.997144,0.0,bottom
R25_5,135.963976,-86.278751,0.0,bottom
R25_4,70.733976,-86.28076,0.0,bottom
R25_3,103.319047,-53.538751,0.0,bottom
R25_2,70.733976,-53.538751,0.0,bottom
R25,103.36,-86.28,0.0,bottom
R26_9,70.744466,-116.489153,0.0,bottom
R26_8,135.907336,-51.035477,0.0,bottom
R26_7,103.400953,-116.51477,0.0,bottom
R26_6,135.96749,-116.487144,0.0,bottom
R26_5,135.963976,-83.768751,0.0,bottom
R26_4,70.733976,-83.77076,0.0,bottom
R26_3,103.319047,-51.028751,0.0,bottom
R26_2,70.733976,-51.028751,0.0,bottom
R26,103.36,-83.77,0.0,bottom
R27_9,70.744466,-113.979153,0.0,bottom
R27_8,135.907336,-48.525477,0.0,bottom
R27_7,103.400953,-114.00477,0.0,bottom
R27_6,135.96749,-113.977144,0.0,bottom
R27_5,135.963976,-81.258751,0.0,bottom
R27_4,70.733976,-81.26076,0.0,bottom
R27_3,103.319047,-48.518751,0.0,bottom
R27_2,70.733976,-48.518751,0.0,bottom
R27,103.36,-81.26,0.0,bottom
R28_9,70.744466,-111.469153,0.0,bottom
R28_8,135.907336,-46.015477,0.0,bottom
R28_7,103.400953,-111.49477,0.0,bottom
R28_6,135.96749,-111.467144,0.0,bottom
R28_5,135.963976,-78.748751,0.0,bottom
R28_4,70.733976,-78.75076,0.0,bottom
R28_3,103.319047,-46.008751,0.0,bottom
R28_2,70.733976,-46.008751,0.0,bottom
R28,103.36,-78.75,0.0,bottom
R3_9,53.187179,-97.12009,0.0,top
